Source,Target,Weight,TipoRelacion
69,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
70,GRUPO  INMOBILIARIO  KINSA  S.A.C.,40250.0,Familia-Entidad
71,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
72,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
73,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
74,INMOBILIARIA IZARRA BARROS SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,38500.0,Familia-Entidad
75,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
76,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
77,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
78,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
79,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,40250.0,Familia-Entidad
80,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
81,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,40250.0,Familia-Entidad
82,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
83,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,40250.0,Familia-Entidad
84,MEGA INDUSTRIES S.A.C.,38500.0,Familia-Entidad
85,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,40250.0,Familia-Entidad
86,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,40250.0,Familia-Entidad
87,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
88,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
89,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
90,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
91,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,40250.0,Familia-Entidad
92,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,40250.0,Familia-Entidad
93,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
94,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
95,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
96,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
97,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,40250.0,Familia-Entidad
98,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
99,CONSTRUCTORA VALLE REQUE S.A.C.,43312.5,Familia-Entidad
100,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
101,ASOCIACION COMUNION PROMOCION DESARROLLO Y LIBERACION COPRODELI,43312.5,Familia-Entidad
102,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
103,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
104,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
105,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
106,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,40250.0,Familia-Entidad
107,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
108,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,40250.0,Familia-Entidad
109,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,40250.0,Familia-Entidad
110,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,40250.0,Familia-Entidad
111,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
112,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
113,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
114,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
115,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
116,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
117,GRUPO  INMOBILIARIO  KINSA  S.A.C.,40250.0,Familia-Entidad
118,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
119,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
120,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
121,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
122,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,40250.0,Familia-Entidad
123,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,40250.0,Familia-Entidad
124,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
125,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
126,GRUPO  INMOBILIARIO  KINSA  S.A.C.,43312.5,Familia-Entidad
127,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,40250.0,Familia-Entidad
128,GRUPO  INMOBILIARIO  KINSA  S.A.C.,40250.0,Familia-Entidad
129,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
130,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
131,MEGA INDUSTRIES S.A.C.,38500.0,Familia-Entidad
132,MEGA INDUSTRIES S.A.C.,38500.0,Familia-Entidad
133,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
134,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
135,MEGA INDUSTRIES S.A.C.,38500.0,Familia-Entidad
136,MEGA INDUSTRIES S.A.C.,38500.0,Familia-Entidad
137,MEGA INDUSTRIES S.A.C.,38500.0,Familia-Entidad
138,MEGA INDUSTRIES S.A.C.,38500.0,Familia-Entidad
139,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,40250.0,Familia-Entidad
140,MEGA INDUSTRIES S.A.C.,38500.0,Familia-Entidad
141,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
142,BECTEK CONTRATISTAS S.A.C.,38500.0,Familia-Entidad
143,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
144,BECTEK CONTRATISTAS S.A.C.,38500.0,Familia-Entidad
145,VALESE CONTRATISTAS GENERALES E.I.R.L.,38500.0,Familia-Entidad
146,MEGA INDUSTRIES S.A.C.,38500.0,Familia-Entidad
147,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,40250.0,Familia-Entidad
148,GRUPO  INMOBILIARIO  KINSA  S.A.C.,40250.0,Familia-Entidad
149,INVERSIONES ANGEL DE LUZ S.A.C.,43312.5,Familia-Entidad
150,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
151,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,40250.0,Familia-Entidad
152,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
153,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
154,INVERSIONES ANGEL DE LUZ S.A.C.,43312.5,Familia-Entidad
155,INVERSIONES ANGEL DE LUZ S.A.C.,43312.5,Familia-Entidad
156,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
157,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,40250.0,Familia-Entidad
158,GRUPO  INMOBILIARIO  KINSA  S.A.C.,40250.0,Familia-Entidad
159,BECTEK CONTRATISTAS S.A.C.,38500.0,Familia-Entidad
160,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,40250.0,Familia-Entidad
161,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,40250.0,Familia-Entidad
162,MEGA INDUSTRIES S.A.C.,38500.0,Familia-Entidad
