Id,EDAD JEFE FAMILIA,MODALIDAD,DEPARTAMENTO GRUPO FAMILIAR,Type,DEPARTAMENTO
153,34.0,AVN,TACNA,familia,
154,45.0,AVN,LIMA,familia,
155,26.0,AVN,LIMA,familia,
156,49.0,AVN,TACNA,familia,
157,31.0,AVN,TACNA,familia,
158,29.0,AVN,PIURA,familia,
159,43.0,AVN,PIURA,familia,
160,28.0,AVN,TACNA,familia,
161,73.0,AVN,TACNA,familia,
162,22.0,AVN,APURIMAC,familia,
163,36.0,AVN,PIURA,familia,
164,53.0,AVN,AYACUCHO,familia,
165,66.0,AVN,SAN MARTIN,familia,
166,62.0,AVN,LAMBAYEQUE,familia,
167,25.0,AVN,LIMA,familia,
168,46.0,AVN,APURIMAC,familia,
169,29.0,AVN,APURIMAC,familia,
170,24.0,AVN,APURIMAC,familia,
171,27.0,AVN,APURIMAC,familia,
172,51.0,AVN,APURIMAC,familia,
173,39.0,AVN,APURIMAC,familia,
174,41.0,AVN,APURIMAC,familia,
175,51.0,AVN,LIMA,familia,
176,27.0,AVN,APURIMAC,familia,
177,36.0,AVN,APURIMAC,familia,
178,27.0,AVN,APURIMAC,familia,
179,37.0,AVN,APURIMAC,familia,
180,33.0,AVN,APURIMAC,familia,
181,49.0,AVN,APURIMAC,familia,
182,29.0,AVN,PIURA,familia,
183,39.0,AVN,SAN MARTIN,familia,
184,49.0,AVN,TACNA,familia,
185,36.0,AVN,LAMBAYEQUE,familia,
186,64.0,AVN,TUMBES,familia,
187,30.0,AVN,TUMBES,familia,
188,36.0,AVN,TUMBES,familia,
189,51.0,AVN,TUMBES,familia,
190,43.0,AVN,LIMA,familia,
191,40.0,AVN,LIMA,familia,
192,46.0,AVN,TUMBES,familia,
193,31.0,AVN,TUMBES,familia,
194,56.0,AVN,LIMA,familia,
195,46.0,AVN,TUMBES,familia,
196,29.0,AVN,TUMBES,familia,
197,23.0,AVN,TUMBES,familia,
198,34.0,AVN,TUMBES,familia,
199,42.0,AVN,TUMBES,familia,
200,26.0,AVN,TUMBES,familia,
201,51.0,AVN,TUMBES,familia,
202,44.0,AVN,TUMBES,familia,
203,37.0,AVN,TUMBES,familia,
204,58.0,AVN,TUMBES,familia,
205,52.0,AVN,AREQUIPA,familia,
206,48.0,AVN,LAMBAYEQUE,familia,
207,61.0,AVN,LIMA,familia,
208,35.0,AVN,PIURA,familia,
209,30.0,AVN,LAMBAYEQUE,familia,
210,39.0,AVN,TUMBES,familia,
211,27.0,AVN,TUMBES,familia,
212,49.0,AVN,TUMBES,familia,
213,31.0,AVN,TUMBES,familia,
214,34.0,AVN,TUMBES,familia,
215,31.0,AVN,TUMBES,familia,
216,50.0,AVN,TUMBES,familia,
217,24.0,AVN,TUMBES,familia,
218,55.0,AVN,TUMBES,familia,
219,42.0,AVN,TUMBES,familia,
220,41.0,AVN,LAMBAYEQUE,familia,
221,42.0,AVN,LAMBAYEQUE,familia,
222,46.0,AVN,TUMBES,familia,
223,30.0,AVN,LAMBAYEQUE,familia,
224,51.0,AVN,TUMBES,familia,
225,60.0,AVN,TUMBES,familia,
226,27.0,AVN,TUMBES,familia,
227,45.0,AVN,TUMBES,familia,
228,31.0,AVN,TUMBES,familia,
229,45.0,AVN,MOQUEGUA,familia,
230,43.0,AVN,TUMBES,familia,
231,34.0,AVN,TUMBES,familia,
232,38.0,AVN,PIURA,familia,
233,38.0,AVN,APURIMAC,familia,
234,30.0,AVN,LAMBAYEQUE,familia,
235,43.0,AVN,TUMBES,familia,
236,21.0,AVN,TUMBES,familia,
237,54.0,AVN,LAMBAYEQUE,familia,
238,25.0,AVN,AMAZONAS,familia,
239,30.0,AVN,TUMBES,familia,
240,37.0,AVN,TUMBES,familia,
241,61.0,AVN,CUSCO,familia,
242,56.0,AVN,TUMBES,familia,
243,28.0,AVN,LIMA,familia,
244,40.0,AVN,PUNO,familia,
245,47.0,AVN,PUNO,familia,
246,37.0,AVN,PUNO,familia,
247,38.0,AVN,PUNO,familia,
248,26.0,AVN,LAMBAYEQUE,familia,
249,68.0,AVN,PUNO,familia,
250,55.0,AVN,PUNO,familia,
251,30.0,AVN,LIMA,familia,
252,25.0,AVN,SAN MARTIN,familia,
253,25.0,AVN,PIURA,familia,
254,30.0,AVN,TUMBES,familia,
255,31.0,AVN,LIMA,familia,
256,37.0,AVN,SAN MARTIN,familia,
257,88.0,AVN,AMAZONAS,familia,
258,65.0,AVN,TUMBES,familia,
259,28.0,AVN,LIMA,familia,
260,45.0,AVN,LAMBAYEQUE,familia,
261,60.0,AVN,PUNO,familia,
262,32.0,AVN,PUNO,familia,
263,32.0,AVN,PIURA,familia,
264,37.0,AVN,TUMBES,familia,
265,56.0,AVN,PIURA,familia,
266,22.0,AVN,CALLAO,familia,
267,27.0,AVN,LIMA,familia,
268,35.0,AVN,TACNA,familia,
269,37.0,AVN,ICA,familia,
270,31.0,AVN,LAMBAYEQUE,familia,
271,28.0,AVN,TUMBES,familia,
272,33.0,AVN,MOQUEGUA,familia,
273,32.0,AVN,LAMBAYEQUE,familia,
274,70.0,AVN,APURIMAC,familia,
275,38.0,AVN,ANCASH,familia,
276,26.0,AVN,TACNA,familia,
277,26.0,AVN,SAN MARTIN,familia,
278,32.0,AVN,LIMA,familia,
279,43.0,CSP,TACNA,familia,
280,48.0,CSP,HUANUCO,familia,
281,67.0,CSP,LAMBAYEQUE,familia,
282,48.0,CSP,LIMA,familia,
283,45.0,CSP,CALLAO,familia,
284,32.0,CSP,ANCASH,familia,
285,44.0,CSP,ANCASH,familia,
286,32.0,CSP,ICA,familia,
287,57.0,CSP,LAMBAYEQUE,familia,
288,39.0,CSP,UCAYALI,familia,
289,65.0,CSP,CUSCO,familia,
290,85.0,CSP,PIURA,familia,
291,44.0,CSP,AYACUCHO,familia,
292,28.0,CSP,ICA,familia,
293,42.0,CSP,UCAYALI,familia,
294,31.0,CSP,UCAYALI,familia,
295,56.0,CSP,CUSCO,familia,
296,39.0,CSP,ANCASH,familia,
297,26.0,CSP,UCAYALI,familia,
298,65.0,CSP,HUANUCO,familia,
299,52.0,CSP,LAMBAYEQUE,familia,
300,36.0,CSP,HUANUCO,familia,
301,47.0,CSP,LIMA,familia,
302,76.0,CSP,LIMA,familia,
303,52.0,CSP,PIURA,familia,
304,42.0,CSP,AYACUCHO,familia,
305,47.0,CSP,TACNA,familia,
306,41.0,CSP,ICA,familia,
307,60.0,CSP,UCAYALI,familia,
308,32.0,CSP,ICA,familia,
309,61.0,CSP,CUSCO,familia,
310,34.0,CSP,ICA,familia,
311,28.0,CSP,ICA,familia,
312,55.0,CSP,UCAYALI,familia,
313,38.0,CSP,UCAYALI,familia,
314,49.0,CSP,ANCASH,familia,
315,51.0,CSP,LIMA,familia,
316,66.0,CSP,JUNIN,familia,
317,41.0,CSP,ANCASH,familia,
318,72.0,CSP,PIURA,familia,
319,59.0,CSP,TUMBES,familia,
320,54.0,CSP,ANCASH,familia,
321,31.0,CSP,UCAYALI,familia,
322,65.0,CSP,ICA,familia,
323,47.0,CSP,LAMBAYEQUE,familia,
324,57.0,CSP,TACNA,familia,
325,52.0,CSP,TACNA,familia,
326,68.0,CSP,LIMA,familia,
327,37.0,CSP,ANCASH,familia,
328,47.0,CSP,ICA,familia,
329,35.0,CSP,ANCASH,familia,
330,53.0,CSP,LIMA,familia,
331,24.0,CSP,AYACUCHO,familia,
332,73.0,CSP,HUANUCO,familia,
333,42.0,CSP,AYACUCHO,familia,
334,67.0,CSP,LIMA,familia,
335,44.0,CSP,AYACUCHO,familia,
336,53.0,CSP,PIURA,familia,
337,41.0,CSP,JUNIN,familia,
338,31.0,CSP,AYACUCHO,familia,
339,49.0,CSP,ANCASH,familia,
340,38.0,CSP,ICA,familia,
341,76.0,CSP,AYACUCHO,familia,
342,74.0,CSP,UCAYALI,familia,
343,50.0,CSP,HUANUCO,familia,
344,69.0,CSP,LAMBAYEQUE,familia,
345,61.0,CSP,LAMBAYEQUE,familia,
346,69.0,CSP,UCAYALI,familia,
347,32.0,CSP,AYACUCHO,familia,
348,45.0,CSP,TUMBES,familia,
349,48.0,CSP,TACNA,familia,
350,72.0,CSP,UCAYALI,familia,
351,45.0,CSP,LAMBAYEQUE,familia,
352,35.0,CSP,HUANUCO,familia,
353,30.0,CSP,AYACUCHO,familia,
354,51.0,CSP,LIMA,familia,
355,48.0,CSP,LIMA,familia,
356,47.0,CSP,LIMA,familia,
357,57.0,CSP,HUANUCO,familia,
358,43.0,CSP,UCAYALI,familia,
359,44.0,CSP,PIURA,familia,
360,47.0,CSP,ICA,familia,
361,39.0,CSP,ICA,familia,
362,29.0,CSP,UCAYALI,familia,
363,60.0,CSP,CUSCO,familia,
364,35.0,CSP,PIURA,familia,
365,63.0,CSP,UCAYALI,familia,
366,43.0,CSP,UCAYALI,familia,
367,58.0,CSP,PIURA,familia,
368,32.0,CSP,ANCASH,familia,
369,65.0,CSP,LAMBAYEQUE,familia,
370,39.0,CSP,UCAYALI,familia,
371,29.0,CSP,AYACUCHO,familia,
372,62.0,CSP,LIMA,familia,
373,52.0,CSP,HUANUCO,familia,
374,39.0,CSP,LIMA,familia,
375,33.0,CSP,AYACUCHO,familia,
376,91.0,CSP,ANCASH,familia,
377,62.0,CSP,LIMA,familia,
378,40.0,CSP,HUANUCO,familia,
379,79.0,CSP,ANCASH,familia,
380,54.0,CSP,JUNIN,familia,
381,74.0,CSP,UCAYALI,familia,
382,44.0,CSP,AYACUCHO,familia,
383,49.0,CSP,ICA,familia,
384,45.0,CSP,LAMBAYEQUE,familia,
385,28.0,CSP,HUANUCO,familia,
386,32.0,CSP,UCAYALI,familia,
387,57.0,CSP,ICA,familia,
388,35.0,CSP,TACNA,familia,
389,72.0,CSP,LIMA,familia,
390,31.0,CSP,AYACUCHO,familia,
391,57.0,CSP,HUANUCO,familia,
392,49.0,CSP,LIMA,familia,
393,78.0,CSP,LIMA,familia,
394,35.0,CSP,PASCO,familia,
395,50.0,CSP,PASCO,familia,
396,69.0,CSP,ICA,familia,
397,49.0,CSP,AYACUCHO,familia,
398,32.0,CSP,UCAYALI,familia,
399,52.0,CSP,JUNIN,familia,
400,49.0,CSP,HUANUCO,familia,
401,33.0,CSP,UCAYALI,familia,
402,99.0,CSP,AYACUCHO,familia,
403,54.0,CSP,ICA,familia,
404,50.0,CSP,AYACUCHO,familia,
405,74.0,CSP,JUNIN,familia,
406,35.0,CSP,UCAYALI,familia,
407,46.0,CSP,TACNA,familia,
408,65.0,CSP,PIURA,familia,
409,35.0,CSP,HUANUCO,familia,
410,37.0,CSP,TACNA,familia,
411,78.0,CSP,LIMA,familia,
412,32.0,CSP,LAMBAYEQUE,familia,
413,54.0,CSP,LIMA,familia,
414,28.0,CSP,UCAYALI,familia,
415,29.0,CSP,AYACUCHO,familia,
416,45.0,CSP,LAMBAYEQUE,familia,
417,48.0,CSP,LAMBAYEQUE,familia,
418,32.0,CSP,LAMBAYEQUE,familia,
419,62.0,CSP,UCAYALI,familia,
420,62.0,CSP,UCAYALI,familia,
421,59.0,CSP,UCAYALI,familia,
422,62.0,CSP,UCAYALI,familia,
423,72.0,CSP,ICA,familia,
424,47.0,CSP,AYACUCHO,familia,
425,46.0,CSP,HUANUCO,familia,
426,57.0,CSP,UCAYALI,familia,
427,40.0,CSP,UCAYALI,familia,
428,32.0,CSP,ANCASH,familia,
429,69.0,CSP,PIURA,familia,
430,51.0,CSP,LIMA,familia,
431,49.0,CSP,LAMBAYEQUE,familia,
432,48.0,CSP,JUNIN,familia,
433,79.0,CSP,ANCASH,familia,
434,47.0,CSP,ICA,familia,
435,75.0,CSP,JUNIN,familia,
436,35.0,CSP,UCAYALI,familia,
437,84.0,CSP,ICA,familia,
438,79.0,CSP,ANCASH,familia,
439,25.0,CSP,ANCASH,familia,
440,41.0,CSP,LIMA,familia,
441,51.0,CSP,UCAYALI,familia,
442,50.0,CSP,ANCASH,familia,
443,36.0,CSP,AYACUCHO,familia,
444,42.0,CSP,UCAYALI,familia,
445,57.0,CSP,LAMBAYEQUE,familia,
446,48.0,AVN,LA LIBERTAD,familia,
447,53.0,AVN,LA LIBERTAD,familia,
448,43.0,AVN,TACNA,familia,
449,72.0,AVN,PUNO,familia,
450,24.0,AVN,PUNO,familia,
451,48.0,AVN,LIMA,familia,
452,33.0,AVN,CUSCO,familia,
453,43.0,AVN,CAJAMARCA,familia,
454,32.0,AVN,LA LIBERTAD,familia,
455,24.0,AVN,LAMBAYEQUE,familia,
456,31.0,AVN,ICA,familia,
457,43.0,AVN,CALLAO,familia,
458,40.0,AVN,LIMA,familia,
459,51.0,AVN,PIURA,familia,
460,36.0,AVN,LAMBAYEQUE,familia,
461,52.0,AVN,HUANCAVELICA,familia,
462,36.0,AVN,PUNO,familia,
463,52.0,AVN,PIURA,familia,
464,53.0,AVN,CALLAO,familia,
465,55.0,AVN,LIMA,familia,
466,50.0,AVN,PUNO,familia,
467,49.0,AVN,LAMBAYEQUE,familia,
468,29.0,AVN,LAMBAYEQUE,familia,
469,34.0,AVN,PUNO,familia,
470,37.0,AVN,LAMBAYEQUE,familia,
471,45.0,AVN,LAMBAYEQUE,familia,
472,42.0,AVN,LIMA,familia,
473,44.0,AVN,LA LIBERTAD,familia,
474,43.0,AVN,SAN MARTIN,familia,
475,29.0,AVN,PUNO,familia,
476,39.0,AVN,PIURA,familia,
477,43.0,AVN,ANCASH,familia,
478,41.0,AVN,LAMBAYEQUE,familia,
479,35.0,AVN,AMAZONAS,familia,
480,25.0,AVN,PIURA,familia,
481,46.0,AVN,LAMBAYEQUE,familia,
482,32.0,AVN,SAN MARTIN,familia,
483,74.0,AVN,PUNO,familia,
484,32.0,AVN,LAMBAYEQUE,familia,
485,35.0,AVN,LAMBAYEQUE,familia,
486,43.0,AVN,PUNO,familia,
487,33.0,AVN,PUNO,familia,
488,47.0,AVN,LAMBAYEQUE,familia,
489,36.0,AVN,PUNO,familia,
490,53.0,AVN,PUNO,familia,
491,45.0,AVN,CALLAO,familia,
492,41.0,AVN,SAN MARTIN,familia,
493,36.0,AVN,LIMA,familia,
494,40.0,AVN,PUNO,familia,
495,45.0,AVN,LAMBAYEQUE,familia,
496,37.0,AVN,LIMA,familia,
497,60.0,AVN,TUMBES,familia,
498,33.0,AVN,LA LIBERTAD,familia,
499,32.0,AVN,APURIMAC,familia,
500,25.0,AVN,LAMBAYEQUE,familia,
501,40.0,AVN,SAN MARTIN,familia,
502,40.0,AVN,PUNO,familia,
503,30.0,AVN,TUMBES,familia,
504,35.0,AVN,AMAZONAS,familia,
505,37.0,AVN,AMAZONAS,familia,
506,58.0,AVN,AMAZONAS,familia,
507,53.0,AVN,PUNO,familia,
508,60.0,AVN,AMAZONAS,familia,
509,49.0,AVN,LAMBAYEQUE,familia,
510,43.0,AVN,PUNO,familia,
511,29.0,AVN,PUNO,familia,
512,36.0,AVN,LIMA,familia,
513,32.0,AVN,LA LIBERTAD,familia,
514,27.0,AVN,CAJAMARCA,familia,
515,54.0,AVN,PIURA,familia,
516,29.0,AVN,LA LIBERTAD,familia,
517,21.0,AVN,CAJAMARCA,familia,
518,42.0,AVN,LIMA,familia,
519,68.0,AVN,LIMA,familia,
520,62.0,AVN,LAMBAYEQUE,familia,
521,31.0,AVN,SAN MARTIN,familia,
522,38.0,AVN,LAMBAYEQUE,familia,
523,36.0,AVN,LAMBAYEQUE,familia,
524,38.0,AVN,LAMBAYEQUE,familia,
525,35.0,AVN,LAMBAYEQUE,familia,
526,42.0,AVN,LAMBAYEQUE,familia,
527,58.0,AVN,LAMBAYEQUE,familia,
528,33.0,AVN,LIMA,familia,
529,32.0,AVN,LAMBAYEQUE,familia,
530,42.0,AVN,AMAZONAS,familia,
531,31.0,AVN,LAMBAYEQUE,familia,
532,31.0,AVN,LAMBAYEQUE,familia,
533,27.0,AVN,LAMBAYEQUE,familia,
534,36.0,AVN,AMAZONAS,familia,
535,62.0,AVN,LAMBAYEQUE,familia,
536,42.0,AVN,LAMBAYEQUE,familia,
537,46.0,AVN,LAMBAYEQUE,familia,
538,47.0,AVN,LAMBAYEQUE,familia,
539,24.0,AVN,LAMBAYEQUE,familia,
540,35.0,AVN,LAMBAYEQUE,familia,
541,45.0,AVN,LAMBAYEQUE,familia,
542,48.0,AVN,LAMBAYEQUE,familia,
543,50.0,AVN,LAMBAYEQUE,familia,
544,52.0,AVN,LAMBAYEQUE,familia,
545,35.0,AVN,LAMBAYEQUE,familia,
546,36.0,AVN,CAJAMARCA,familia,
547,41.0,AVN,LAMBAYEQUE,familia,
548,57.0,AVN,LAMBAYEQUE,familia,
549,70.0,AVN,LAMBAYEQUE,familia,
550,37.0,AVN,LAMBAYEQUE,familia,
551,59.0,AVN,TUMBES,familia,
552,25.0,AVN,LAMBAYEQUE,familia,
553,21.0,AVN,LAMBAYEQUE,familia,
554,43.0,AVN,LAMBAYEQUE,familia,
555,22.0,AVN,LAMBAYEQUE,familia,
556,75.0,AVN,LAMBAYEQUE,familia,
557,36.0,AVN,LAMBAYEQUE,familia,
558,38.0,AVN,LAMBAYEQUE,familia,
559,31.0,AVN,ICA,familia,
560,35.0,AVN,LAMBAYEQUE,familia,
561,50.0,AVN,LAMBAYEQUE,familia,
562,37.0,AVN,LAMBAYEQUE,familia,
563,22.0,AVN,LAMBAYEQUE,familia,
564,53.0,AVN,LIMA,familia,
565,37.0,AVN,LAMBAYEQUE,familia,
566,49.0,AVN,LAMBAYEQUE,familia,
567,35.0,AVN,CALLAO,familia,
568,36.0,AVN,LIMA,familia,
569,33.0,AVN,LIMA,familia,
570,36.0,AVN,LA LIBERTAD,familia,
571,42.0,AVN,LA LIBERTAD,familia,
572,44.0,AVN,LA LIBERTAD,familia,
573,38.0,AVN,LIMA,familia,
574,37.0,AVN,LIMA,familia,
575,42.0,AVN,CAJAMARCA,familia,
576,41.0,AVN,LA LIBERTAD,familia,
577,29.0,AVN,LA LIBERTAD,familia,
578,31.0,AVN,LA LIBERTAD,familia,
579,28.0,AVN,PUNO,familia,
580,30.0,AVN,LA LIBERTAD,familia,
581,26.0,AVN,LIMA,familia,
582,29.0,AVN,TUMBES,familia,
583,40.0,AVN,LA LIBERTAD,familia,
584,30.0,AVN,LAMBAYEQUE,familia,
585,27.0,AVN,LAMBAYEQUE,familia,
586,28.0,AVN,LAMBAYEQUE,familia,
587,23.0,AVN,LA LIBERTAD,familia,
588,48.0,AVN,LAMBAYEQUE,familia,
589,26.0,AVN,LA LIBERTAD,familia,
590,30.0,AVN,LA LIBERTAD,familia,
591,48.0,AVN,LA LIBERTAD,familia,
592,44.0,AVN,LA LIBERTAD,familia,
593,46.0,AVN,LA LIBERTAD,familia,
594,35.0,AVN,LAMBAYEQUE,familia,
595,49.0,AVN,CAJAMARCA,familia,
596,37.0,AVN,CAJAMARCA,familia,
597,45.0,AVN,LAMBAYEQUE,familia,
598,64.0,AVN,CAJAMARCA,familia,
599,41.0,AVN,CAJAMARCA,familia,
600,54.0,AVN,LA LIBERTAD,familia,
601,46.0,AVN,LAMBAYEQUE,familia,
602,50.0,AVN,LIMA,familia,
603,35.0,AVN,LAMBAYEQUE,familia,
